"","site_name","site","day","latest_temperature","lon","lat"
"344","Norwich Lakenfields","no12","2016-06-30",16.35,"1.301976","52.614193"
"345","Norwich Lakenfields","no12","2016-07-01",12.95,"1.301976","52.614193"
"346","Norwich Lakenfields","no12","2016-07-02",10.9,"1.301976","52.614193"
"347","Norwich Lakenfields","no12","2016-07-03",15.25,"1.301976","52.614193"
"348","Norwich Lakenfields","no12","2016-07-04",16.3,"1.301976","52.614193"
"349","Norwich Lakenfields","no12","2016-07-05",17.4,"1.301976","52.614193"
"350","Norwich Lakenfields","no12",NA,14.8,"1.301976","52.614193"
"351","Nottingham Centre","nott","2016-06-30",13.15,"-1.146447","52.95473"
"352","Nottingham Centre","nott","2016-07-01",9.3,"-1.146447","52.95473"
"353","Nottingham Centre","nott","2016-07-02",9.9,"-1.146447","52.95473"
"354","Nottingham Centre","nott","2016-07-03",14.35,"-1.146447","52.95473"
